context,wrong,right
"Emwazi mengaku kepada Cage bahwa perjalanan itu adalah lawatan liburan, namun dia kecewa malah dituduh pihak berwenang Inggris sedang berencana bergabung dengan Al-Shebab di Somalia.",Al-Shebab,Al-Shabaab
Tottenham membuka keunggulan saat laga baru berlangsung tiga menit.,keunggul,keunggulan
Terutma calon yang merupakan kader partai lain.,Terutma,terutama
"Adapun untuk ketersediaan logistik, seperti surat suara dan formulir, dljuga diperkirakan sudah siap.",dljuga,juga
"Sementara itu, bersadasarkan informasi yang dikumpulkan Kompas.com, dua anggota Polres Polman yang diduga sebagai pelaku penembakan Prada Yuliadi, Briptu HR dan Briptu CW telah menjalani pemeriksaan di Polda Sulselbar.",bersadasarkan,berdasarkan
"Memandatkan agar masalah ini tidak terulang di masa depan,"" sambung dia.",Memandatkan,Memanfaatkan
"Warga Pulaau Panggang, Syahrullah juga mempertanyakan, soal Peraturan Menteri Kelautan Perikanan, yang melarang nelayan menangkap ikan dengan alat tangkap tertentu.",Pulaau,pulau
"JAKARTA, KOMPAS.com -Ketua Umum Partai Amanat Nasional (PAN) Zulkfili Hasan tidak memeprsoalkan sikap politik Partai Golkar yang meninggalkan Koalisi Merah Putih (KMP) dan menyatakan secara resmi dukungannya kepada pemerintah.",memeprsoalkan,mempersoalkan
"""Dari empat kejuaraan yang akan kita gelar secara beruntun itu, satu diantaranya berstatus kejuaraan nasional yakni spirng Rally.",spirng,spring
"Pembagunan ITH itu akan memanfaatkan eks  lahan Gedung Pemuda, Parepare.",Pembagunan,pembangunan
"""Setelah kilau kilat terdnegar suara geledek keras sekali, dan tiga orang itu terkapar.",terdnegar,terdengar
"""Berdasarkan bukti surat analisisis dampak lingkungan yang dimiliki perusahaan, kebun Gondai dinyatakan sudah sangat rawan kebakaran karena seluruhnya merupakan lahan gambut.",analisisis,analisis
Di dalam gudang itu terdapat dua tangki plastik berkapasitas 800 liter dan dua drum berkasitas 200 liter.,berkasitas,berkapasitas
"Di antara penandatatangan adalah Perdana Menteri Kamboja Samdech Hun Sen, Wakil Perdana Menteri Kamboja Sok An, mantan Presiden Filipina Fidel Ramos, Ketua parlemen lima periode Filipina Jose De Venecia, mantan Wakil Presiden RI Jusuf Kalla, mantan Perdana Menteri Nepal Madhav Kumar Nepal dan puluhan tokoh penting dunia lainnya.",penandatatangan,penandatangan
"Dalam surat yang diteken Sekda Nawi yang ditujukan kepada Camat Dringu Buwang Ponadi, Pemkab Probolinggo meminta agar Kusnadi diberi pengarahan, pembinaan dan tugas-tugas dan apabila yang bersangktuan telah nyata-nyata melaksanakan tugasnya, diharapkan melapor kepada bupati.",bersangktuan,bersangkutan
Perempatfinal Copa America Centenario akan berlangsung pada 16-19 Juni 2016 dengan undian sebagai berikut:Juara grup A (Amerika Serikat) vs peringkat dua grup BJuara grup B vs peringkat dua grup A (Kolombia)Juara grup C vs peringkat dua grup DJuara grup D vs peringkat dua grup C,BJuara,juara
Sejauh ini tidak ada satu pun bank global yang disasar melukakan pelanggaran oleh pihak berwajib AS.,melukakan,melakukan
"Waktu itu kepikir untuk sekalian membuat album,"" kata dia.",kepikir,kepikiran
"Sambil menangis, Anneke mengatakan, dirinya akan tetap berusaha kuat meski dia mengkui bahwa kejadian ini masih sulit diterimanya karena terjadi secara tiba-tiba.",mengkui,mengikuti
"Presiden Jokowi menyebutkan pemasaran fesyen di departemen store itu merupakan awal dari sebuah kerja sama yang memberikan peluang kepada desainer-desianer Indonesia untuk masuk ke pasar di London, di Inggris.",desainer-desianer,desainer-desainer
"Tahun 2014 merupakan periode ketiga kalinya dalam melaksanakan Pemiluan Presiden (Pilpres) secara langsung, di mana waktu itu Susilo Bambang Yudhoyonio tidak lagi dapat dipilih oleh rakyat karena ketentuan undang-undang.",Pemiluan,Pemilu
"Jakarta (ANTARA News) - Ketua Dewan Pertimbangan Partai Golkar Akbar Tandjung mengatakan wacana sosok bakal calon Wakil Presiden boleh saja segera diusulkan oleh berbagai kalangan, namun partainya akan melakukan evaluasi secara menyeluruh pada Rapat Pimimpinan Nasional Oktober mendatang.",Pimimpinan,Pimpinan
"Berdasarkan SK yang dikeluarkan Direktur Pembinaan Pendiik dan Tenaga Kependidikan (P2TK) Direktorat Jenderal Pendidikan Menengah, tertanggal 30 Maret 2012, pembayaran tunjangan sudah mulai dilakukan sejak Januari 2012.",Pendiik,pendidik
"Yaitu kebijakan keberagaman bahasa di Asia dan Eropa serta permasalahannya, pertukaran contoh ideal dalam memelihara dan mempromosikan keberagaman bahasa dan budaya di Asia dan Eropa, strategi dalam melindungi dan mempromosikan keberagaman bahasa terkait dengan pembangunan ekonomi berkelanjutan di Asia dan Eropa, serta terakhir adalah peran media dan teknologi informasi komunikasu damalm memelihara dan mempromosikan keberagaman bahasa di Asia dan Eropa.",damalm,dalam
"Dari penyelidikan sementara, pengakuan dari empat orang yang juga diamankan di Mapolres Bone, solar-solar tersebut dibeli dari Bone sehraga Rp 4.500 dan akan di jual di Kabupaten Kolaka, Sulawesi Tenggara, seharga Rp 5.000.",sehraga,seharga
"Tindak pidana korupsi dan praktik suap yang selama ini terjadi secara meluas tidak hanya merugikan keuangan negara, tetapi juga merupakan pelanggaran terhadap hak-hak sosial dan ekonomi masyarakatan secara luas, ujar Emerson.",masyarakatan,masyarakat
"Dewan itu menegaskan bahwa dukungan bagi upaya Lebanon mengelola dampak arus pengungsi, termasuk layanan penting -seperti- pendidikan dan kesehatan, sangat penting untuk menjaga ketenangan dan keamanan di negara itu.",-seperti-,seperti
"Untuk gaun malam, jaket beristleting depan ditonjolkan di bagian bawah, nyaris seperti korset.",beristleting,beritsleting
"Dalam gelaran festival yang menggunakan dana kesitimewaan itu, menurut dia, peserta akan memperebutkan piala bergilir Sri Sultan HB X, piala Gusti Kanjeng Ratu (GKR) Hemas serta hadiah uang tunai dengan total Rp60 juta.",kesitimewaan,keistimewaan
"Di China, kata Chou, HTC telah memasuki kemitraan strategis dengan China Mobile dan melancurkan HTC One Max sebagai perangkat TD-LTE pertama di negara itu.",melancurkan,meluncarkan
"Seperti dikisahnya Bandung Bondowoso telah berhasil memenuhi permintaan Roro Jonggrang yakni membuat sumur Jalatundho dan Candi yang berjumlah seribu dalam satu malam, namun setelah dihitung Roro Jonggrang, ternyata jumlahnya kurang satu.",Jalatundho,Jalatunda
"Para pahlawan dari komunitas Tiong Hoa, turut dalam perjuangan melawan penjajahan, turut dalam sumaph pemuda, menjadi anggota BPUKI, ikut dalam revolusi mempertahankan kemerdekaan.",sumaph,sumpah
"""Kami juga meminta bantaun dari satpol PP, kepolisian, TNI dan petugas dari dishubkominfo,"" katanya.",bantaun,bantuan
"Kerry juga mengeyampingkan fakta bahwa Washingotn baru saja menunda bantuan tahunan senilai 1,5 miliar dolar kepada Kairo dengan menjelaskan bahwa keputusan tersebut tidak bertujuan untuk menghukum para pemimpin militer Mesir.",Washingotn,Washington
"Soal kritik terhadap niatannya tersebut, Endang, semua pihak boleh saja bercara dengan persepsi masing-masing.",bercara,berbicara
"KARAWANG, KOMPAS.com- Ambisi tim dayung Indonesia membalas kekahalahan dari Myanmar dengan meraih emas di cabang perahu naga (dragon boat) di Situ Cipule, Karawang, Jawa Barat, belum tercapai.",kekahalahan,kekalahan
"Dengan keberadaan lum bung pangan tersebut, akan ada lembaga di tingkat desa yang bisa berperan sebagai tempat untuk menyimpan hasil panen sehingga bisa dimanfaatk an oleh masyarakat di musim paceklik atau saat ada musibah.",dimanfaatk,dimanfaatkan
"Jadi,  kalau hadist, rawahu-nya Pak Amir.",rawahu-nya,rowahunya
"Hajriyanto menambahkan, politik harus fleksible dan tidak kaku.",fleksible,fleksibel
"Saat itu Zhang ditemani rekan seperjalanan Shizihen Zhang, Shunjian Wei, Yongjian Liang, Zhining Liang dan Jiandang Deng.",Shizihen,Zhizhen
Kacamata tak lazim itu juga ternyata sukses memikat minat wisawatawan mancanegara untuk berkunjung  ke Pantai Terentang.,wisawatawan,wisatawan
"Pada nomor tembak reaksi divisi revolver atlet yang menjadi juara, yakni Charles asal Jakarta, kedua direbut oleh Tukiman (Boyolali), dan ketiag Herman B. S. (Klaten).",ketiag,ketiga
"""Saya mencurigai ada motif mengganggu dan mempermalukan simbol negara.. Kalau benar itu tujuannya, saya harap teman-teman untuk bersikap negarawan dan tidak perlu memanggil Pak Boediono lagi,"" kata Achsanul.",negara..,negara
"Sementara dalam pemancangan tiang pertama pembangunan asrama mahasiswa rusunawa di kampus Universitas Negeri Yogaykarta di Wates, Kulon Progo, Bupati Kulon Progo Toyo S Dipo mengatakan, pihaknya berharap pemerintah  menggulirkan pembangunan rumah susun sederhana milik (rusunami).",Yogaykarta,Yogyakarta
"""Awalnya hanya satu ruko, te tapi karena di dalam ruko terdapat bahan yang mudah terbakar, api membesar dan menjalar ke ruko yang bersemopetan hingga saat ini sudah enam yang terbakar,"" kata salah seorang warga yang menyaksikan kebakaran tersebut, Joni di Pekanbaru.",bersemopetan,berdempetan
"Beberpa tahun lalu Hotel JW Marriott di kawasan Kuningan, Jakarta, tepatnya 5 Agustus 2003, diguncang bom mobil.",Beberpa,beberapa
"Sebenarnya sudah ada yang melakukan kerja sama seperti Biofrma menjalin kerja sama dengan akademiai dan pemerintah menghasilkan vaksin,"" kata Nila.",akademiai,akademi
"""Harapan kami tidak hanya tersambung, tetapi kualitas kita sebagai satu bangsa dan masyarakat Indonesia bisa lebih dekat dengan terhububungnya sabuk selatan ini,"" ujar Wamenhub.",terhububungnya,terhubungnya
Jakarta (ANTARA News) - Saham-saham di Bursa Efek Indonesia (BEI) pada Kamis ditutup melemha menyusul tekanan yang dialami rupiah serta melemahnya harga minyak dunia.,melemha,melemah
"Seorang warga sipil tewas dan tiga orang lagi, termasuk dua prajurit, cedera ketika satu bom pinggir jalan meledakkan satu patroli militer di bagian bara-laut Mosul.. Sementara itu, empat prajurit cedera dalam ledakan lain bom pinggir jalan di dekat patroli mereka di bagian utara kota tersebut, kata sumber itu.",Mosul..,Mosul
"Selain di Mars, senja berwarna biru juga terdapat di Planet Osiris atau HD 209458 b, sebuah planet ekstra-surya yang berjarak 150 tahun cahaya dari Bumi, dan mengobrit bintang HD 209458.",mengobrit,mengorbit
"""meringis mengikuti berita merapi yang mengamuk, mentawai yang susah terjangkau.. let's pray for them..."" demikian tulisan yang diikuti tiga 'jempol' di sampingnya.",terjangkau..,terjangkau
"Dalam lomba itu, juara bertahan Lawshawn Merritt, yang memenangkan gelar juara dunia di Berlin pada tahun 2009, hanya mencatatkan waktu terbaiknya 43,65 detik dan meraih perak, sementara juara Olimpiade Grenada Kirani James mengklaim perunggu untuk waktu terbaiknya 43,78 detik.",Lawshawn,LaShawn
Namun titik kemacetan itu berseger ke kawasan Limbangan.,berseger,bergeser
"Para pria bersenjata berat dari kelompok gerilyawan Tehreek-e- Taliban Pakistan (TTP)membunuh 149 orang, 133 di antara mereka pelajar dalam serangan yang mengejutkan dunia itu.",Tehreek-e-,Tehrik-e-
"Makassar (ANTARA News) - Komisi Pemilihan Umum Kabupaten Kepulalauan Selayar, Sulawesi Selatan, menyisir pemilih penyandang disabilitas melalui sosialisasi Pemilu 2014 dan tata cara pencoblosan.",Kepulalauan,Kepulauan
"""Pukul 17.30 WIB ketinggi meningkat 70 cm, jadi siaga empat banjir,"" kata Andi.",ketinggi,ketinggian
Muenchen harus menunda perayaan gelar juara Bundesliga ke-26 atau keempat secara beruntun karena masih bisa terkejar Borussia Dortmund yang berada pada peringkat kedua dengan 77 poin atau lima poin di baaj mereka dengan dua laga tersisa.,baaj,baja
"Selain fasilitas kantor seperti komputer, pendingin ruangan, dan benda-benda elektronik lainnya, kebakaran juga menghanguskan brangkas-brangkas berisi uang tunai yang jumlahnya diperkirakan ratusan juta rupiah.",brangkas-brangkas,brankas-brankas
"Kalau dikirtik itu kan enggak masalah, yang penting konstruktif,"" ucap politisi Partai Golkar tersebut.",dikirtik,dikritik
"Tiga orang saksi telah dijadwalkan menjalani pemeriksaan penyidik, Senin 19 Januari 2015 yakni Kapolda Kalimantan Timur, Irjen Andayono, Wakapolres Jombang, Kompol Sumardji, dan Brigjen (Purn) Heru Purwanto, tapi mereka tidak datang untuk mememenuhi panggilan KPK.",mememenuhi,memenuhi
"IMD mengatakan ini bisa mengasilkan banjir di daerah pantai yang rendah di sekitar Vsakhapatnam, Vijayanagaran dan Srikakulam, demikian Reuters.",Vijayanagaran,Vijayanagar
"Keluarga-kelurga Garner dan Brown di Washington bergabung bersama para kerabat bocah kulit hitam berusia 12 tahun, Tamir Rice, yang ditembak mati bulan lalu oleh polisi Cleveland, serta Trayvon Martin, yang tewas di Florida oleh seorang petugas keamanan kompleks perumahan pada 2012.",Keluarga-kelurga,keluarga-keluarga
Pemerintah cabut izin dua perusahaan hutan tamanan industri,tamanan,tanaman
Serangan itu dilancarakn setelah gerilyawan Tuareg di Wilayah Mali Utara menandatangani kesepakatan perdamaian dengan pemerintah pada awal Juni.(Uu.,dilancarakn,dilancarkan
"APPTHI nilai pembuat ijazah palsu ""lacur"" intektual",intektual,intelektual
"Dalam studi pertama, Dr Marina Davila-Ross, dari University of Portsmouth, menguji bagaimana primata berinteraksi dengan robot.",Davila-Ross,David-Ross
"Mesikipun belum diketahui penyebab kejadian terbakarnya apotik 3 lantai tersebut, namun saat ini petugas polsek setempat sudah berjaga-jaga di TKP.",Mesikipun,meskipun
"Ini kemenangan bagi pejuang kekebebasan,"" kata Robert Fu, aktivis yang berbasis di AS.",kekebebasan,kebebasan
Baruna Jaya IV bergabung melakukan pencarian AirAsia QZ8501 yang hilang kontak dengan Menara Pengawas Udarar (ATC) di Bandara Internasional Soekarno-Hatta pada Minggu pagi lalu.,Udarar,udara
"Ia mengatakan gerbong difabel itu tidak khusus untuk penyandang cacat saja, karena bisa saja ada penumpang umum yang ditempatkan di gerbong khusus difabel, tetpai jika ada penumpang penyandang cacat, petugas akan langsung mengarahkan ke gerbong khusus tersebut.",tetpai,tetapi
"Kapolres Cirebon AKBP Drs Edhy Moestofa melalui Kasat Reskrim AKP Ferrri Irawan Sik ketika dikonfirmasi  membenarkan adanya penemuan dua tulang tengkorak manusia di daerah Babakan, Cirebon.",Ferrri,Feri
Sementara Spurs juga memberikan perlawanan ketika Simon Mignolet membuatan penyelamatan gemilang untuk gawang Liverpool dari Nacer Chadli sebelum babak pertama selesai.,membuatan,membuat
"Iwan menganalogikan rakyat kecil seperti jendal jepit yang selalu terjepit, diremehkan, lemah, selalu kalah.",jendal,jenderal
"Beberapa pengamat politik meniali penundaan rapimnas itu karena kader Golkar, Ratu Atut Choisyah, yang juga Gubernur Banten dan beberapa kader lainnya sedang terjerat kasus dugaan penyuapan sengketa pilkada.",meniali,menilai
"PURWOKERTO, SENIN - Provinsi Jawa Tengah rencananya akan dijadikan sebagai provinsi vokasi atau provinsi yang dapat menyediakan pendidikan sekolah  menengah kejuruan dalam jumlah besar dan kualitas yang baik.",ncananya,rencananya
Dalam musyawarah itu Romziah pun terpilih sebagai Wakil Presiden SEAVSA dan Prof Dr Sunneraat Aiumlamai sebagai bendahara.,Aiumlamai,Aimdamai
Dindingnay bisa mengatur paparan sinar Matahari sehingga suhu dalam ruangan bisa diatur stabil.,Dindingnay,Dindingnya
"Sekedar berkaca, kemenangan United dari Everton pada final Piala FA 1995 dianggap sebagai titik balik bagi manajer Alex Ferguson yang masa awal kepelatihannya di Old Trafford pun sempat terseok-seok sebelum menjadi laganan juara pada tahun-tahun kemudian setelah sukses pada Piala FA 1995 itu.",laganan,langganan
"Kelalain itu berujung pada kasus penusukan terhadap siswa SMA Pangudi Luhur, Raafi Aga Winasya Benjamin (17).",Kelalain,kelalaian
"PT Pelindo menggandeng perusahaan Peti Kemas Hongkong, SITC Countainers Lines Co. Ltd.",Countainers,Container
"Sementara itu, lanjut dia, mulai ada pengajuan permohonan izin impor dari pabrik gula baru hampir 800.000 ton untuk kapaistas tidak terpakai (iddle capacity).",kapaistas,kapasitas
"Ia menjelaskan, kebrehasilan tersebut ditopang oleh kebijakan Bank Indonesia yang terukur serta koordinasi yang erat dengan pemerintah guna mengawal stabilitas, mendorong pertumbuhan ekonomi, dan mempercepat reformasi struktural.",kebrehasilan,keberhasilan
Sementara itu pelatih Timnas Uruguay Oscar Tabarez tidak memasang Diego Forlan di barisan depan karena dia lebih memilih untuk men-tandem duet Luis Suarez dan Edinson Cavani.,men-tandem,menandem
"""Itu dua formula jamu yang sudah teruji klinis, ada tiga lagi yang baru untuk osteoartritis, haemorroid (wasir), dan dispepsia (maag).",haemorroid,hemoroid
"LE MANS, Kompas.com - Pebalap Italia, Valentino Rossi mengaku tak ingin mengikuti keingiann juara dunia Casey Stoner untuk pensiun dari ajang MotoGP.",keingiann,keinginan
"""Kita sebenarnya melihat robot sebagai mesin-mesin sederhana yang melakukan tugas-tugas sederhana..",sederhana..,sederhana
"Berikut hasil Grand Prix Brasil di sirkuit Intergalos yang berlangsung Minggu waktu setempat, dikutip dari AFP:1.",Intergalos,Interlagos
"Walaupun belum ditata, misal Menriset dan dikti.",Menriset,Menristek
Jumlah orang Indonesia bejalar bahasa Jepang terbanyak kedua dunia,bejalar,belajar
"Petugas Polantas Pelalawan itu tewas setelah mengalami luka tusuk di bebera pabagian tubuh, seperti dada, perut dan pinggang.",pabagian,bagian
"""Untuk memperkenalkan Zenfone Max, kami akan mengadakan roadshow Maxperience di lima kota besar di Indonesia,"" kata Head of Public Relation and e-Marketing Asus Indonesia, Muhammad Firman, di Jakarta, Kamis.",Maxperience,experience
"Pada akhir event tersebut, 20 tim yang ambil bagian dalam balapan tersebut akan menjelajahi jarak sejauh 1.031,7 Km dan melalui tujuh negara bagian.- Hasil balapan tahap keempat (10 besar):1.",bagian.-,bagian
Situasi harga ini masih fluktuatif karena kalangan perajin memperkirarakan harga akan mencapai Rp 8.200 per kg.,memperkirarakan,memperkirakan
"Aski mogok tersebut, ungkap Ketua FSPMI Cianjur, Cepi Mustafa, sekaligus sebagai bentuk dukungan yang dilakukan buruh seluruh Indonesia.",Aski,Aksi
"Namun, mencermati proses pelaksananaan pemilu legislatif 2014 yang hasil perohan suaranya diumumkan oleh KPU pada Jumat malam ini cukup merisaukan.",pelaksananaan,pelaksanaan
Keiklasan membina akan membuat para lansia menjadi lebih betah menjalani hari tuanya di panti sosial.,Keiklasan,keikhlasan
"Mengenai Selat Hormuz di Teluk Persia, komandan AL Iran mengemukakan negaranya tidak menginginkan selat strategis itu ditutup..",ditutup..,ditutup
"Skenario ""The Great Gatsby"" ditulis oleh Luhrmann dan Carig Pearce, keduanya telah bekerja sama dalam film ""Moulin Rouge"" yang mendapat delapan nominasi Oscar.",Carig,Craig
"Menurut dia, proses ekpslorasi telah melewati tahapan studi terlebih dahulu yang melibatkan lembaga macam LIPI (Lembaga Ilmu Pengetahuan Indonesia).",ekpslorasi,eksplorasi
Pengajuan dilakukan seriing semakin meluasnya korupsi dalam tubuh pemerintahan.,seriing,seiring
Tes darah dan urine dilakukan sebagai salah satu bahan pertimbangan kenaikan pangkat dan jabatan struktural pegawai negeri sipil di Pemerintah Provinsi Sumatera Utara.,ruktural,struktural
"Sementara itu, PT Pertamina (Persero) sebagai perusahaan energi nasional terus-menerus berkomitmen untuk menjalankan bisnis yang bersinergi dengan lingkungan hidup, mulai dari inovasi produk-produk bahan bakar yang lebih ramah lingkungan, serta pelaksanakaan program Corporate Social Responsibility maupun bina lingkungan.",pelaksanakaan,pelaksanaan
"Aksi ini, menurut Irwan, Humas PKS Jatim, sebagai solidaritas dan bentuk keprihatinan massa PKS terahdap serangan As ke Fallujah.",terahdap,terhadap
Pemerintah juga sudah menawarkan sejumlah bank di Manado baik swasta maupun milik pemerintah untuk menjadikan kain kahs daerah tersebut sebagai seragam wajib pada hari tertentu.,kahs,khas
"Sementara hadiah lainnya yang disediakan sponosr antara lain tiket pesawat Garuda ke Bali pulang pergi, TV LCD Samsung, motor Minerva, dan lain-lain.",sponosr,sponsor
"""Proses produksi dimulai dari pembenihan selama satu bulan, pendederan selama dua bulan dan pembesaran di keramba selama tiga bulan,"" ujar Zulher.",pendeder,pendederan
"Sanitasi komunal yang sudah terbangun tersebut tersebar di lima kecamatan yang ada di kabuapten itu, yakni Kecamatan Singosari, Turen, Sumberpucung, Kepanjen, dan Pakisaji.",kabuapten,kabupaten
"Sekelompok penyerang bunuh diri terakhir mencoba meneyerbut parlemen pada 2012 ketika mereka melancarkan serangan-serangan terkoordinasi di beberapa bagian ibu kota Afghanistan itu, termasuk beberapa kantung-kantung diplomatik.",meneyerbut,menyerbui
Dia menyebutkan tiga lokasi itu mampu menampung ratusan ribu ekor saping ternak.,saping,sapi
Kaum militan yang terbunuh termasuk mereka yang berkebangsaan Uzbek dan Afghanistan yang menjadi anggota Tehreek-i-Taliban Pakistan (TTP).,Tehreek-i-Taliban,Tehrik-i-Taliban
"Kajiannya sudah selesai, lalu kami sampaikan ke Presiden dengan penejalasan bahwa ini rutin dilakukan dan sudah ada permintaan dari Ketua DPR, baru perpresnya turun,"" kata Andi.",penejalasan,penjelasan
"Di dalam ketiga rekaman video tersebut, tersangka memegang pisau panjang dan terlihat mulai mememotong leher sandera.",mememotong,memotong
"""Kami mendukung terobosan Gubernur Maluku yang strategis dalam mewujudkan Maluku sebagai laboratorium kerukunanan antarumat beragama, baik nasional maupun internasional dengan membangun permukiman multikultur maupun etnis,"" ujar Margiono.",kerukunanan,kerukunan
"""Seperti kata Bruce Lee, tidak peduli bela diri apa yang kamu lakukan, yang penting bisa dieskpresikan dan berkontribusi ke berbagai aspek kehidupan.",dieskpresikan,diekspresikan
