context,wrong,right
"""Termohon (KPU) membuka secara bebas kotak suara, meskipun termohon wajib menyimpan dan memelihara, namun termohon membuka kotak suara harus menindahkan norma yang berlaku, secara itu merupakan pelanggaran,"" kata Hakim Konstitusi Anwar Usman saat membacakan pertimbangan hukum Putusan Perselisihan Hasil Pemilihan Umum Presiden dan Wakil Presiden (Sengketa Pilpres) di Jakarta, Kamis.",menindahkan,mengindahkan
"Baca juga:- Kabar di Path soal Anak ""Dijedotin"" Bapaknya Masih Ditelusuri- Pengguna Path yang Menulis Dugaan Kekerasan Anak Melapor ke Polisi- KPAI Terima Laporan Dugaan Kasus Kekerasan Anak yang Beredar di Path- Petugas Kebersihan ITC Mangga Dua Benarkan Ada Pemukulan Anak",Path-,Path
"PSCS mendapat peluang emas melalui kaki Ning Gue di menit 58 dan 59, tetapi kedua tendangan kerasnya yang tinggal berhadapan dengan kiper Persik, Tedy Heri, melambung di atas mintar gawang, sehingga kedudukan tetap 2-0 hingga babak kedua berakhir.",mintar,mistar
"""Kalau sudah mabuk, maka ingatannya akan hilang, sehingga mudah berbuat anarkis, karena sudah dipengaruhin alkohol,"" aata AKP Sutomo.",dipengaruhin,dipengaruhi
"""PDIP secara resmi tidak setuju kalau tidak ada rgumentasi yang kuat.",rgumentasi,regumentasi
"""Tidak terdaftaranya calon peserta didik pada sekolah yang mereka tuju, diduga karena sistem  yang terkadang mengalami gangguan teknis atau jaringan,"" ujar seorang warga Kabupaten Kotabaru, Kalsel yang mau mendaftarkan anaknya masuk sekolah.",terdaftaranya,terdaftarnya
"""Harapannya Puskesmas Betaf yang mempuanyai jangkauan pelayanan hingga Kampung Ansudu bisa memberikan rekomendasi untuk Pak guru Hermanus segera dirujuk ke Jayapura,"" kata dokter Bery Wopary.",mempuanyai,mempunyai
Para staf memanggil nama warga yang dokumennya telah selesai dilegaliasi dan selanjutnya mereka langsung memberikan uang.,dilegaliasi,dilegalisasi
"Menikah dengan Dewi Pramunawati pada 7 April 1985, Putu dikarunai seorang anak, I Gusti Taksu Ngurah Wijaya.",dikarunai,dikaruniai
"Naas bagi Twente, dua algojo mereka, Kyle Ebecelio dan Robbert Schilder, gagal melakukan tugasnya dengan baik, sehingga ketika penendang kelima Zwolle Tomas Necid sukses menyarangkan bola tak ada giliran kelima untuk tim besutan Alfred Schreuder tersebut.",Ebecelio,Ebecilio
Amerika Serikat sering mengirimkan kapal-kapal Angkatan Laut-nya ke dekat negara-negara yang bergejolak sebagai persiapan jika harus melindungi atau mengvakuasi warga negara Amerika Serikat atau mengambil bagian dalam bantuan kemanusiaan.,mengvakuasi,mengevakuasi
Ia pun menegaskan komitmennya untuk menggunakan teknologi tersebut dalam pembangunan jembatan layanng sebidang pada lintas kereta api.,layanng,layang
"Tersangka dikenakan pasal berlapis, yakni Pasal 365 ayat 1 dan 2 KUHP, Pasal 88 dan junto pasal 55 ayat 1 KUHP, dengan tindak pidana pencurian dan perampokan, serta kekerasan yg mengakibatkan melanyangnya nyawa seseorang.",melanyangnya,melayangnya
"Menurut dia, timbangan yang kini banyak di gunakan pedagang adalah timbagan plastik untuk alat ukur membuat kue oleh rumah tangga.",timbagan,timbangan
Jakarta (ANTARA News) - Penyanyi Chris Brown mengaku mengunjungi terapis dua kali seminggum untuk mengatasi amarahnya.,seminggum,seminggu
"""Pemerimaan uang Rp3 miliar merupakan realisasji janji untuk terdakwa Akil Mochtar melalui SMS-SMS sejak 26 September.",realisasji,realisasi
"BISHKEK, KOMPAS.com - Seekor domba yang lahir dengan dua penis dan tujuh kaki mati dibunuh setelah ditolakn kawanannya sendiri.",ditolakn,ditolakan
"Padahal kalau mau ditilik ke dalam, tambah Mahfudz, lahirnya ISIS itu, tidak lepas kegagalan AS, dalam penangan keamanan di Irak dan Suriah, setelah barat menginfasi negara tersebut, baik secara langsung maupun lewat kelompok milisi pemerontak pemerintahan di timur tengah.",pemerontak,pemberontak
"Anak bayinya yang berusia dua bulan tertidut dalam selimut di atas lantai, di sisi perempuan ini.",tertidut,tertidur
"Untuk motif, Dibya memilih motif batik kawung dengan corak geometrisnya yang khas.",geometrisnya,geometrinya
"Selanjutnya, sarana angkutan penumpang dengan jumlah lokomotif 2.805 unit, kereta api penumpang sebanyak 27.960 unit serta angkutan barang dengan jumlah lokomitif 1.995 unit dan gerbong 39.655 unit.",lokomitif,lokomotif
"Komantan Satuan Tugas Udara Kolonel Penerbangan Andyawan yang juga Komandan Satgas Udara Penanggulangan Bencana Asap Provinsi Riau mengatakan, saat ini delapan helikopter terlibat dalam penanggulangan bencana asap di Riau.",Komantan,Komandan
Warga pun rama-ramai membakar bangkai ayam tersebut guna mencegah agar tidak menular ke ayam-ayam lainnya yang masih sehat.,rama-ramai,ramai-ramai
"Namun, ada pengunjung yang jahil dengan melempari dan menjolokkan tongkat kayu ke arah mereka.",menjolokkan,mencolokkan
"Arie menjelaskan, kota-kota besar di Tiongkok adalah pasar potensial bagi pariwisata Jakarta, tak terkecuali Xianmen yang saat ini telah memiliki rute penerbangan langsung Xianmen-Jakarta dengan menggunakan maskapai Xianmen Air.",Xianmen-Jakarta,Xiamen-Jakarta
"Heklikopter itu tiba-tiba mendarat di belakang rumah warga masih pagi-pagi,"" ujar Aris yang menyaksikan langsung pendaratan helikopter itu.",Heklikopter,Helikopter
Nunang dan para pengungsi berunjuk rasa secara damai dan hanya untuk memnuntut hak sebagai pengungsi dari Pemkab Sikka.,memnuntut,menuntut
"Jika ""kakak-nya"" hanya memiliki tombol gaul untuk akses Facebook, Asha 210 menyediakan aplikasi Facebook, Twitter, WhasApp hingga LINE.",WhasApp,WhatsApp
"Sedangkan bintang Jasa Nararya diberikan kepada sembilan tokoh yaitu Kepala Badan Kepegawaian Negara, Eko Sutrisno, Kolonel Infantri (Purn) Surachman Atlet Ultra Marathon, yang mangharumkan nama bangsa dengan sejumlah prestasi di antaranya juara pertama master marathon di Thailand 2011, dan peraih juara pertama jalan cepat se-Asia 2012 di Taiwan.",mangharumkan,mengharumkan
"Cibitung (ANTARA News) - Sekretaris Dirjen Pendidikan Dasar Kementerian Pendidikan dan Kebudayaan (Kemdikbud), Thamrin Tasman, mengatakan pihaknya akan meblokir dana Bantuan Operasional Sekolah (BOS) bagi sekolah yang tidak membayar buku Kurikulum 2013.",meblokir,memblokir
"""Ini berita luar biasa, hal terbaik yang mungkin,"" kata sepupu Chavez, Guillermo Frias, kepada Reuters di tempat kelahitan Presiden di negara bagian Barinas.",kelahitan,kelahiran
"""Fasilitas iradiator gamma ini akan dibangun dalam waktu dua tahun.",iradiator,irradiator
"Sundulan Ozan Tufan dapat diblok di garis gawang oleh Danije Subasic, ketika Turki mendapatkan peluang bersih pertamanya di Parc des Princes, sebelum Kroasia mencetak gol semata wayang di pertandingan itu melalui Luka Modric.",Danije,Danijel
"Surabaya (ANTARA News) - Keluarga korban kecelakaan pesawat AirAsia QZ 8501 menggelar doa bersama bertepatan 40 hari insiden jatuhnya pesawat tersebu di Ruang Mahameru Markas Polda Jatim, Kamis.",tersebu,tersebut
"Pukul 12.30 Wib, para pembalap sepeda tergabung dalam Tim CCN Cycling Team, Puslatda Jatim, Custom Cycling Club, BSP Siak, National Team Indonesia, Siak Cyscling Team, KFC, NSC Malaysia, CEBU Cycling Philiphines, ISSI Jakarta, dan Persatuan Lumba Basikal Terangganu finish di Raja Kecik atau depan RSUD Tengku Rafian Siak Sri Indrapura.",Cyscling,Cycling
Masih banyak data dari pelbaga institusi dan Badan Penanggulangan Bencana Daerah yang belum dilaporkan ke BNPB.,pelbaga,pelbagai
"Incheon (ANTARA News) - Lifter putri Ni Nengah Widiasih berhasil menyumbangkan medali perak untuk Indonesia dari cabang olahraga angkat berat pada Asian Paragames 2014 di oonlight Festival Garden Powerlifting Venue, Incheon, Korea Selatan, Minggu.",oonlight,moonlight
"Anggaran kunjungan kerja terpisah dengan anggaran reses anggota DPR, maka anggaran kunjungan kerja tetap sama dobanding kunjungan pada masa reses.",dobanding,dibanding
"Dalam setiap laga uji coba, pihaknya akan terus memantau serta mengevaluasi perkembangan tim, baik kerjasama tim, kemampuun individu maupun daya jajah setiap pemain di lapangan.",kemampuun,kemampuan
Ketiga orang itu menendang dan memukuli orang yang telungkunp itu dengan tongkat kecil.,telungkunp,telungkup
Hal itu karena titik lokasi penangkapan terbesar untuk ganja sebagai barang bukti narkotika terjadi di Pelabuhan Bakauheni dan wilayah peerbatasan provinsi.,peerbatasan,perbatasan
"""Tapi sekarang belum bisa, karena cuaca buruk dan gelombang tinggi,"" lanjut dia, seraya menerusakan bahwa unsur darat akan membantu unsur laut dan udara.",menerusakan,meneruskan
Kelompok militan itu telah meningkatkan serangan-serangan lintas batas di wilayah Kenya sebagai bagian dari apa mereka katakan pembalasan atas invasi Keneya pada 2011 dan menlanjutkan kehadiran di Somalia sebagai bagian dari pasukan AMISON dari Uni Afrika.5 09:05:10,menlanjutkan,melanjutkan
Adapun ide cerita yanag dipilih tentunya memiliki prosesp untuk didistribusikan di bioskop lokal maupun tingkat Asia Tenggara.,prosesp,proses
"""Jika kami juara grup, kita bisa menghindari tim-tim papan atas, seperti Tionhkok dan Indonesia di perempat final,"" tegasnya.",Tionhkok,Tiongkok
"Nama belakang Rey belum diketahui, membuat speskulasi bahwa perempuan itu mungkin anak Luke Skywalker, atau Han dan Putri Leia.",speskulasi,spekulasi
"""Veritas adalah inovator pasar dengan rskala global, brand yang ikonik dan potensi pertumbuhan yang signifikan,"" kata Direktur Pelaksana Carlyle Patrick McCarter dan Cam Dyer.",rskala,skala
"Beberapa contoh bisa disebut di sini, kebetulkan kasus ini narasumbernya kalangan pejabat di lingkungan Pemerintah Provinsi DKI Jakarta.",kebetulkan,kebetulan
"Menurut dia, pihaknya sempat terkedala biaya perawatan korban saat hendak membawa pulang jenazah anaknya yang masih ada kekurangan sekitar Rp36 juta.",terkedala,terkendala
"Namun dirinya enggan mennyebut berapa besar aliran dana yang masuk saat kampanye itu Pilgub 22 Januari 2013, karena beralasan bahwa itu merupakan tugas dari penyidik KPK guna menuntaskan kasus dugaan korupsi tersebut.",mennyebut,menyebut
"Kementerian mengatakan pihanya  ""mengutuk dalam istilah terkuat keputusan Israel, kekuatan pendudukan, untuk mencegah misi teknis UNESCO dari melakukan  misi pemantauan di Kota Tua Jerusalem dan Dindingnya.""",pihanya,pihaknya
"Oleh karena itu, dirinya menginstruksikan agar Dinas Tenbaga Kerja dan Transimigrasi (Disnakertrans) daerah itu menggandeng Dinas Koperasi dan Usaha Kecil Menengah (UKM).",Tenbaga,Tenaga
"Di samping itu, mnurut Kepala Sub-Bidang Informasi BMKG Harry Tirto Djatmiko, fenomena El Nino tak bisa disamaratakan pada setiap daerah.",mnurut,menurut
"Sebenarnya berdasarkan jadwal penerbangan di Hang Nadim, pada pukul 07.00 WIB sampai 08.30 WIB ada delapan jadwal kedatangan yang kesemuannya tunda karena jarak pandang di bawah 400 meter.",kesemuannya,kesemuaannya
"Anggota milisi Al-Houthi menembakkan senjata berat anti-pesawat dari daerah itu selama kedua serangan udara tersebut, yang berselang beberapa detik.",anti-pesawat,antipesawat
"Dalam Pekan Film Airlangga yang digelar UKM Sinematrografi Unair di Gedung Cak Durasim Surabaya, ia menjelaskan dunia perfilman sudah menjadi industri karena ada agen yang menangani.",Sinematrografi,Sinematografi
"Tidak ada korban jiwa atas pristiwa ini, namun kerugian materil mencapai ratusan juta rupiah, karena selain membakar seisi bengkel juga menghanguskan tujuh unit mobil milik konsumen yang hendak di servis dibengkel tersebut.",pristiwa,peristiwa
Maka Old Trafford-lah yang bisa menjadi satu-satunya pintu bagi Mou agar tidak kedinginan di musim dingin.,Trafford-lah,Traffordlah
"Dia juga menyebut, pihaknya sudah mendapatkan laporan bahwa pegembang atau pemilik kawasan industri di daerah itu sudah berkomitmen membangun penampungan air seluas tiga hektare.",pegembang,pengembang
"Saat ini BLBI masih dalam tahap penyelidikan di KPK sehingga KPK belum menetapkan tersangka sedangkan dalam kasus dugaan korupsi pemberian fasilitas pendanaan jangka pendek (FPJP) kepada Bank Century dan penetapan bank Century sebagai bank gagal berdampak sistemik, MA bahkan meperberat putusan mantan Deputi Gubernur Bank Indonesia bidang Pengelolaan Moneter dan Devisa Budi Mulya menjadi 15 tahun dan denda Rp1 miliar subsider 8 bulan kurungan.",meperberat,memperberat
Kepolisian telah menyelesasikan empat dari 10 perkara LC fiktif.,menyelesasikan,menyelesaikan
"Namun, cara manaikkannya tidak bisa langsung 30 persen, tetapi bertahap: 2015 (5 persen), 2016 (10 persen), 2017 (15 persen), 2018 (20 persen), dan 2019 (30 persen).",manaikkannya,menaikkannya
"Sebagian dari mereka menggunakan mobil untuk menyergap PKL, sebagian lagi ada yang menumpagi sepeda motor.",menumpagi,menumpangi
Kebutuhan konsolidasi dan soliditas internal tersebut harus dipastikan tertib dan proses kaderisasi personik di Polri harus berjalan untuk memastikan estafet kepemimpinan.,personik,personil
"""Sebagai jawaban atas pertanyaan bagaimana kerja sama regional dapat mengarah kepada perdamaian dan aksi nyata melawan terorisme, Zardari mengatakan, ""Wilayah ini dirongrong rekstremisme dan perluasan terorisme hari ini dan hanya negara regional, yang mengandalkan kerja sama yang berlanjut dapat memerangi fenomena ini secara sungguh-sungguh.",rekstremisme,ekstremisme
"""Tapi memang kita harus sadar lahan terbakar sudah pukuhan ribu hektare.",pukuhan,puluhan
"Jan menjelaskan dengan diterbitkannya peraturan menteri mengenai satwa buru di mana kura-kura moncong babi masuk di dalamnya, maka hewan ini dapat diternakan dan dikembangbiakan untuk kemudian dikomersialkan.",diternakan,diternakkan
"Sementara itu, Kepala Bakesbanglinmas Surabaya Soemarno mengatakan pihaknya telah melakukan beberapa langkah untuk mengantiripasi dampak abu vulkanik dengan bekerja sama dengan dinas terkait, di antaranya membagikan masker kepada pengendara motor dan warga di beberapa wilayah serta melakukan penyemprotan air yang dilakukan dengan Dinas Pemadam Kebakaran.",mengantiripasi,mengantisipasi
"Alasannya pembangunan itu  melanggar Peraturan Daerah Nomor 6 tahun 2009 tentang Tata Ruang Kota Sidoarjo, karena  Kecamatan Buduran termasuk kawasan pemukiman penduduk.",elanggar,melanggar
Ia meminta ada terobosan perluasan jangkauan perbankan dengan memperhatikan karakteristifk sebagai sebagai negara kepulauan.,karakteristifk,karakteristif
"Ia menambahkan estimasi data ekonomi domestik di mana angka inflasi diperkirakan naik tipis ke 3,47 persen secara tahunan dan pertumbuhan produk domesti bruto (PDB) dirilis diperkirakan membaik ke 4,97 persen turut menambah sentimen positif.",domesti,domestik
"Lille (ANTARA News) - Bek tengah asal Denmark Simon Kjaer telah bergabung dengan klub Liga Prancis Lille dari Wilfsburg dengan ikatan kontrak selama empat tahun, demikian diumumkan Lille pada Jumat.",Wilfsburg,Wolfsburg
"Ini akan menjadi uji coba resmi terakhir, sebelum persiapan menghadapi seri perdana MotoGP 2012 di Qatar, 8 April.- Hasil hari ketiga uji coba resmi pra-musim MotoGP 20121.",April.-,April.
Sebanyak 113 produk langgar katentuan,katentuan,ketentuan
"Menurut Kapolres Kendari, AKBP Ilham Saparona, pelaku masuk ke dalam rumah korban dengan cara menjungkil jendela kamar.",menjungkil,mencungkil
Sementara itu Febby Angguni yang menempati unggulan kedua mengalahkan tunggal putri Ukraina lainnya Marija Ultina yang menempati unggulan keempat juga dengan dua set langsung 21-19 dan 21-12 dalam waktu 29 menit di babak semifinal.,Ultina,Ulitina
Pasien yang memiliki efek samping mual pascakemoterapi tetap harus makan.,pascakemoterapi,pasca-kemoterapi
"Sudir mengatakan, lahirnya UU Desa ini atas indisiatif pemerintah bukan insiatif dari DPR.",indisiatif,inisiatif
Guna meninjau lagkah selanjutnya memaksa penjualan Clippers.,lagkah,langkah
"Dia diketahui jmemiliki hubungan emosional dengan Haji Thalib, pemilik pabrik zam zam palsu yang ditangkap 2014 lalu.",jmemiliki,memiliki
"Waktu 2009 ada penyimpngan kuat dari DPT, tapi tidak ada tindak lanjut dan sanksi-sanksi nya.",penyimpngan,penyimpangan
"Belum ada pihak yang mengklaim bertanggung jawab atas serangan-serangan tersebut, yang terjadi di daerah Sadriya yang berpenduduk mayoriotas Syiah di Baghdad timur.",mayoriotas,mayoritas
"Lalui pada menit 11, penyerang City asal Argentina Sergio Aguero berhasil masuk kotak penalti dan melepaskan tendangan namun berhasil dihalau penjagwa gawang Adrian.",penjagwa,penjaga
"Apalagi, lanjut dia, pemerintah Kabupaten Pandeglang berkinginan terus mengoptimalkan berbagai potensi yang ada, termasuk sektor retribusi dan pajak, khususnya PBB.",berkinginan,berkeinginan
"Seusai lawan Fiorentina, rasa saskit itu muncul lagi meski hanya ringan,"" tambahnya.",saskit,sakit
"""Koperasi dianggap seolah-olah hina, padahal dalam Pancasila di situ terkandung kewajiban tanggung jawab sosial bagi pemerintah republik Indonesia,"" kata Prabowo Menurutnya, koperasi yang dianggap rendah solah-seolah tidak mau memperkuat peranan koperasi dalam perkembangan perekonomian Indonesia.",solah-seolah,seolah-seolah
"Sehubungan dengan itu, di Pasaman saat ini terdapat dua pasangan bakal calon bupati yang telah memasukan berkas ke Komis Pemilihan Umum (KPU) setemapat, yakni pasangan petahana Benny Utama dengan Daniel Lubis serta pasangan Yusuf Lubis dengan Mayor Atos Pratama.",setemapat,setempat
"Dari sisi pelayanan publik, MA telah melakukan kompetisi inoasi pelayanan publik peradilan  2015.",inoasi,inovasi
"JAKARTA, KOMPAS.com - Tim Thomas dan Uber Indonesia mendapat hasil undian berat, pada putaran final di wuhan China.",wuhan,Wuhan
"Anda tidak dapat memastikan apa yang bakal terjadi dalam dua builan ke depan.""",builan,bulan
"NEW DELHI, KOMPAS.com - Pemberontak Maois di India membunuh 10 polisi setelah menggiring para korban ke sebuah daerah perbukitan di negara bBagian Bihar.",bBagian,Bagian
"JawaPos.com SERPONG- Agen Pemegang Merek (APM), Tata Motors Distribusi Indonesia (TMDI) punya kiat berbeda supaya pengunjung melirik produk yang cocok untuk wirausaha mobile.",SERPONG-,SERPONG
"Sementara Credit Suisse memuji transaksi Bayer, pihaknya menyoroti kekhawatiran tentang saluran obat baru perusahaan  dan memberikan ""prioritas rendah"" kepada poengembalian pemegang saham.",poengembalian,pengembalian
Schalke sebetulnya lebih dulu membuka keungglan lewat gol cepat penyerang Franco Di Santo pada menit 6 memanfaatkan bola tendangan bebas yang dikirimkan Kaan Ayhan.,keungglan,keunggulan
"Lebih 40 tahun setelah pembukaan hubungan diplomatik secara resmi, kemitraaan strategis antara Vietnam dan Jepang mengalami kemajuan berarti.",kemitraaan,kemitraan
Nurdin secara khusus menyamburt tamunya dalam acara jamuan makan.,menyamburt,menyambut
"Partai Buruh yang saat ini menjadi pihak oposisi di Australia mengatakan kebijakana tersebut akan menghemat 50 miliar dolar AS dalam jangka menengah, dan meningkatkan dua kali lipat mereka yang akan berhenti merokok.",kebijakana,kebijakan
Naimi dan Khorsid -dua politisi yang tewas- adalah kandidat dalam pemilihan parlemen provinsi yang akan digelar pada 20 April mendatang.,tewas-,tewas
"Premium yang akan diselundupkan ke Vanimo ini didapat dari Stasiun Pengisian Bahan Bakar Neleyan (SPBN) Hamadi, Distrik Jayapura Selatan.",Neleyan,Nelayan
"""Keduanya sudah dilepas Rabu pagi dan dikenakan wajib lapor,"" kata perwira menengah yang pernah juga menjabat Wakil Direkrur Lalu Lintas Polda Jatim tersebut.",Direkrur,Direktur
"Kayed Daana salah seorang warga yang rumahnya diserang mengatakan kepada Maan News , puluhan pemukim Israel menyerang permukiman mereka dan melukai setidaknya tiga orang.",Daana,Dana
"Katanya demi memberi semangat ke  temam-teman lain,"" tutur Fahrurozi (45), suami Yanti yang juga sesama  pedagang pasar.",temam-teman,teman-teman
Para jaksa mengatakan ia juga mengusulkan untuk menolong para tawanan di Guantanamo atau di Ameirika dan meledakkan pesawat militer.,Ameirika,Amerika
"Sebelumnya, Menteri Komunikasi dan Informafika (Menkominfo) Rudiantara mengatakan terkait persoalan Grabcar dan Uber masih ada izin yang sedang diproses di Kementerian Koperasi dan UKM.",Informafika,Informatika
"Kerja sama ini kita lakukan agar benar-benar tunttas dan kita selesaikan,"" kata Ivanov.",tunttas,tuntas
"Pelaksanaan kebijakan keluarga berencana selalu bervariasi di seluruh Tiongkok, dan beberapa wilayah menyatakan mereka akan mulai memberikan hukou pada orang-orag yang orang tuanya belum membayar denda.",orang-orag,orang-orang
Sementara panjang landasan memcapai 2.300 meter sehingga selain dibutuhkan personel yang banyak juga butuh dukungan alat bantu.,memcapai,mencapai
"Selain itu, kata Puspa wijayanti, kedua hotel tersebut juga sudah melengakapi seluruh perizinan seperti yang disyaratkan dalam peraturan daerah.",melengakapi,melengkapi
"Alphareta (ANTARA News) - Puluhan penonton pada Sabtu berkerumun di dekat sebuah gereja di Georgia, Amerika Serikat, untuk menyaksikan upacara pemakaman Bobbi Kristina Brown, anak perempuan mendiang penyanyi Whitney Houston.",Alphareta,Alpharetta
"Nah jadi akan sangat janggal kalau tiba-tiba dalam perkara ini PN Jaksel tidak mau mengirimkam berkasnya,"" tutur dia.",mengirimkam,mengirimkan
"Sementara itu, Rodrigeuz Mendigutia menharapkan dapat melihat  satu musium veteran yang telah direncan akan dibuka di Taman Hialeaj di Miami, sebagai satu jalan penting untuk memelihara warisan veteran Teluk Babi.",Hialeaj,Hialeah
"Petenis Argentina  peringkat delapan dunia itu mengalami masalah pada lengannya sejak awal  Januari, ketka ia pada awalnya merasakan nyeri saat mengikuti laga awal  Australia Terbuka, setelah sebelumnya memenangi tunamen Sydney Terbuka.",ketka,ketika
"""Akibatnya ekonomi masyarakat menyerupai perjudian atau untung-untungan, mencsri celah yang legal dan ilegal.",mencsri,mencari
"Selain itu, menurut Prof Kustan Basri, sejak memimpin Banjar, Sultan H Khairul Saleh telah berhasil mengangkat kebudyaan dan kembali membangkitkan Kesultanan Banjar sebagai kekayaan kebudayaan bangsa.",kebudyaan,kebudayaan
"Yayasan ostroporosis di Amerika memperkirakan tahun lalu lebih dari 10 juta orang Amerika berusia di atas 50 tahun menderita osteoporosis, seperti dilansir WebMD.",ostroporosis,osteoporosis
Pemerintah Australia meminta langsung bantuan dari pihak berwenang Norwegia untuk membatu dalam proses penyelidakan gambar yang terlihat dari satelit Australia.,penyelidakan,penyelidikan
"Bahkan sinergi antara swasta dan masyarakat kurang optimal dalam tata ruang prmbangunan,"" jelasnya.",prmbangunan,pembangunan
"Kelas kata ""komersial"" tentulah ajektiva yang dalam posisi di kalimat itu harus didahului dengan nomina, misalnya ""segi"" atau ""aspek"" agar struktur kalimat itu gramatikal.",ajektiva,adjektiva
"Tapi sekarang hakim konstitusi yang nonaktif sebelum tujuh tahun harus intrispeksi secara etika, sesuai dengan amanat perppu tersebut,"" ujarnya.",intrispeksi,introspeksi
"DKI harus tinduk 0-3 (19-25, 21-25, 23-25).",tinduk,tindak
"Sukkot adalah salah satu hari libur, yang pada hari itu biasanya dikunjungi warga Israel dalam jumlah lebih banyak dibandingkan har-hari biasa.",har-hari,hari-hari
Becker menempel ketat poin Djokvic pada set pertama hingga berhasil memaksa tiebreak.,Djokvic,Djokovic
Sweeney juga mengeluhkan rendahnya independensi para  partisipator di Dewan FIFA yang seluruh anggotanya dipilih oleh asosiasi-asosiasi dari setiap negara anggota FIFA tersebut.,partisipator,participator
"Libya telah memiliki administrasi pesaing pada 2014, ketika sebuak aliansi milisi menguasai Tripoli dan memaksa pemerintah melarikan diri ke bagian timur.",sebuak,sebuah
"Vice Presiden Minarak Lapindo Jaya Andi Darussalam Tabusala, Senin, mengatakan, saat ini dirinya masih menunggu kepres tersebut terkait dengan pembayaran kepada korban lumpur.",kepres,keppres
"Menit 54 Gotze melayangkan umpan silang untuk Lewandowski yang menyudulnya ke gawang, tetapi diselamatkan Wiedwald.",menyudulnya,menyundulnya
"Dia mengenang sosok 'guru politiknya' alrmarhum Eki Syachruddin, aktivis eksponen 66.",alrmarhum,almarhum
"""Saya sudah berusaha menerapkan instruksi pelatih untuk mndorongnya ke belakang, namun dia mampu mengemabalikan bola saya.""",mengemabalikan,mengembalikan
